Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Status
vol-2-1291,vol 2 1291 - Red,"<div class=""product-description"">
<h3>Product Details</h3>
<ul>
<li><strong>Top Fabric:</strong> Net</li>
<li><strong>Inner Fabric:</strong> Crepe</li>
<li><strong>Bottom Fabric:</strong> Crepe</li>
<li><strong>Dupatta Fabric:</strong> Net</li>
<li><strong>Color:</strong> Red</li>
<li><strong>Work:</strong> Embroidery Chain Stitch Work</li>
<li><strong>Pattern:</strong> Embroidery Chain Stitch Work</li>
<li><strong>Neck:</strong> Round</li>
<li><strong>Sleeve:</strong> 3/4 Sleve</li>
<li><strong>Sleeve Length:</strong> 16 Inch</li>
</ul>

<h3>Fabric & Sizing</h3>
<ul>
<li><strong>Top Length:</strong> 57 Inch</li>
<li><strong>Bottom Length:</strong> 2 Mtr</li>
<li><strong>Dupatta Length:</strong> 2.2Mtr</li>
<li><strong>Bust:</strong> 42</li>
<li><strong>Waist:</strong> 44</li>
<li><strong>Stitching:</strong> Semi-stich</li>
</ul>

<h3>Care & Delivery</h3>
<ul>
<li>Dry clean recommended</li>
<li>Store in a cool, dry place</li>
<li>Delivery within 5-7 business days</li>
</ul>

<p class=""additional-info"">Anarkali Dress Fabric: Net || Inner Fabric: Crepe || Bottom Fabric: Crepe || Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.4 mtr</p>
</div>",Avetsam,Apparel & Accessories > Clothing > Dresses,Anarkali,"Anarkali, Red, Embroidery Chain Stitch Work, Net, Semi-stich, 3/4 Sleve, Round, 3-Piece Set",TRUE,Size,Free Size,vol 2_1291,500,shopify,deny,manual,1450,,TRUE,TRUE,,,,vol 2 1291 - Red,FALSE,vol 2 1291 - Red,"
Product Details

Top Fabric: Net
Inner Fabric: Crepe
Bottom Fabric: Crepe
Dupatta Fabric: Net
Color: Red
Work: Embroidery Chain Stitch Work
Pattern: Embroidery",Apparel & Accessories > Clothing > Dresses,Female,Adult,,new,FALSE,,,,,,,kg,,,TRUE,active
vol-2-1292,vol 2 1292 - Dusty Pink,"<div class=""product-description"">
<h3>Product Details</h3>
<ul>
<li><strong>Top Fabric:</strong> Net</li>
<li><strong>Inner Fabric:</strong> Crepe</li>
<li><strong>Bottom Fabric:</strong> Crepe</li>
<li><strong>Dupatta Fabric:</strong> Net</li>
<li><strong>Color:</strong> Dusty Pink</li>
<li><strong>Work:</strong> Embroidery Chain Stitch Work</li>
<li><strong>Pattern:</strong> Embroidery Chain Stitch Work</li>
<li><strong>Neck:</strong> Round</li>
<li><strong>Sleeve:</strong> 3/4 Sleve</li>
<li><strong>Sleeve Length:</strong> 16 Inch</li>
</ul>

<h3>Fabric & Sizing</h3>
<ul>
<li><strong>Top Length:</strong> 57 Inch</li>
<li><strong>Bottom Length:</strong> 2 Mtr</li>
<li><strong>Dupatta Length:</strong> 2.2Mtr</li>
<li><strong>Bust:</strong> 42</li>
<li><strong>Waist:</strong> 44</li>
<li><strong>Stitching:</strong> Semi-stich</li>
</ul>

<h3>Care & Delivery</h3>
<ul>
<li>Dry clean recommended</li>
<li>Store in a cool, dry place</li>
<li>Delivery within 5-7 business days</li>
</ul>

<p class=""additional-info"">Anarkali Dress Fabric: Net || Inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.4 mtr</p>
</div>",Avetsam,Apparel & Accessories > Clothing > Dresses,Anarkali,"Anarkali, Dusty Pink, Embroidery Chain Stitch Work, Net, Semi-stich, 3/4 Sleve, Round, 3-Piece Set",TRUE,Size,Free Size,vol 2_1292,500,shopify,deny,manual,1450,,TRUE,TRUE,,,,vol 2 1292 - Dusty Pink,FALSE,vol 2 1292 - Dusty Pink,"
Product Details

Top Fabric: Net
Inner Fabric: Crepe
Bottom Fabric: Crepe
Dupatta Fabric: Net
Color: Dusty Pink
Work: Embroidery Chain Stitch Work
Pattern: Emb",Apparel & Accessories > Clothing > Dresses,Female,Adult,,new,FALSE,,,,,,,kg,,,TRUE,active
vol-2-1293,vol 2 1293 - Navy Blue,"<div class=""product-description"">
<h3>Product Details</h3>
<ul>
<li><strong>Top Fabric:</strong> Net</li>
<li><strong>Inner Fabric:</strong> Crepe</li>
<li><strong>Bottom Fabric:</strong> Crepe</li>
<li><strong>Dupatta Fabric:</strong> Net</li>
<li><strong>Color:</strong> Navy Blue</li>
<li><strong>Work:</strong> Embroidery Chain Stitch Work</li>
<li><strong>Pattern:</strong> Embroidery Chain Stitch Work</li>
<li><strong>Neck:</strong> Round</li>
<li><strong>Sleeve:</strong> 3/4 Sleve</li>
<li><strong>Sleeve Length:</strong> 16 Inch</li>
</ul>

<h3>Fabric & Sizing</h3>
<ul>
<li><strong>Top Length:</strong> 57 Inch</li>
<li><strong>Bottom Length:</strong> 2 Mtr</li>
<li><strong>Dupatta Length:</strong> 2.2Mtr</li>
<li><strong>Bust:</strong> 42</li>
<li><strong>Waist:</strong> 44</li>
<li><strong>Stitching:</strong> Semi-stich</li>
</ul>

<h3>Care & Delivery</h3>
<ul>
<li>Dry clean recommended</li>
<li>Store in a cool, dry place</li>
<li>Delivery within 5-7 business days</li>
</ul>

<p class=""additional-info"">Anarkali Dress Fabric: Net || Inner Fabric: Crepe || Bottom Fabric: Crepe Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.4 mtr</p>
</div>",Avetsam,Apparel & Accessories > Clothing > Dresses,Anarkali,"Anarkali, Navy Blue, Embroidery Chain Stitch Work, Net, Semi-stich, 3/4 Sleve, Round, 3-Piece Set",TRUE,Size,Free Size,vol 2_1293,500,shopify,deny,manual,1450,,TRUE,TRUE,,,,vol 2 1293 - Navy Blue,FALSE,vol 2 1293 - Navy Blue,"
Product Details

Top Fabric: Net
Inner Fabric: Crepe
Bottom Fabric: Crepe
Dupatta Fabric: Net
Color: Navy Blue
Work: Embroidery Chain Stitch Work
Pattern: Embr",Apparel & Accessories > Clothing > Dresses,Female,Adult,,new,FALSE,,,,,,,kg,,,TRUE,active
1350-fenta,1350 Fenta - pink,"<div class=""product-description"">
<h3>Product Details</h3>
<ul>
<li><strong>Top Fabric:</strong> Net</li>
<li><strong>Inner Fabric:</strong> Crepe</li>
<li><strong>Bottom Fabric:</strong> Crepe</li>
<li><strong>Dupatta Fabric:</strong> Net</li>
<li><strong>Color:</strong> pink</li>
<li><strong>Work:</strong> Embroidery Chain Stitch Work</li>
<li><strong>Pattern:</strong> Embroidery Chain Stitch Work</li>
<li><strong>Neck:</strong> Round</li>
<li><strong>Sleeve:</strong> 3/4 Sleve</li>
<li><strong>Sleeve Length:</strong> 16 Inch</li>
</ul>

<h3>Fabric & Sizing</h3>
<ul>
<li><strong>Top Length:</strong> 57 Inch</li>
<li><strong>Bottom Length:</strong> 2 Mtr</li>
<li><strong>Dupatta Length:</strong> 2.2Mtr</li>
<li><strong>Bust:</strong> 42</li>
<li><strong>Waist:</strong> 44</li>
<li><strong>Stitching:</strong> Semi-stich</li>
</ul>

<h3>Care & Delivery</h3>
<ul>
<li>Dry clean recommended</li>
<li>Store in a cool, dry place</li>
<li>Delivery within 5-7 business days</li>
</ul>

<p class=""additional-info"">Anarkali Dress Fabric: Net || Inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.4 mtr</p>
</div>",Avetsam,Apparel & Accessories > Clothing > Dresses,Anarkali,"Anarkali, pink, Embroidery Chain Stitch Work, Net, Semi-stich, 3/4 Sleve, Round, 3-Piece Set",TRUE,Size,Free Size,1350_Fenta,500,shopify,deny,manual,1450,,TRUE,TRUE,,,,1350 Fenta - pink,FALSE,1350 Fenta - pink,"
Product Details

Top Fabric: Net
Inner Fabric: Crepe
Bottom Fabric: Crepe
Dupatta Fabric: Net
Color: pink
Work: Embroidery Chain Stitch Work
Pattern: Embroider",Apparel & Accessories > Clothing > Dresses,Female,Adult,,new,FALSE,,,,,,,kg,,,TRUE,active
1335-peach,1335 Peach - Peach,"<div class=""product-description"">
<h3>Product Details</h3>
<ul>
<li><strong>Top Fabric:</strong> Net</li>
<li><strong>Inner Fabric:</strong> Crepe</li>
<li><strong>Bottom Fabric:</strong> Crepe</li>
<li><strong>Dupatta Fabric:</strong> Net</li>
<li><strong>Color:</strong> Peach</li>
<li><strong>Work:</strong> Embroidery Chain Stitch Work</li>
<li><strong>Pattern:</strong> Embroidery Chain Stitch Work</li>
<li><strong>Neck:</strong> Round</li>
<li><strong>Sleeve:</strong> 3/4 Sleve</li>
<li><strong>Sleeve Length:</strong> 16 Inch</li>
</ul>

<h3>Fabric & Sizing</h3>
<ul>
<li><strong>Top Length:</strong> 57 Inch</li>
<li><strong>Bottom Length:</strong> 2 Mtr</li>
<li><strong>Dupatta Length:</strong> 2.2Mtr</li>
<li><strong>Bust:</strong> 42</li>
<li><strong>Waist:</strong> 44</li>
<li><strong>Stitching:</strong> Semi-stich</li>
</ul>

<h3>Care & Delivery</h3>
<ul>
<li>Dry clean recommended</li>
<li>Store in a cool, dry place</li>
<li>Delivery within 5-7 business days</li>
</ul>

<p class=""additional-info"">Anarkali Dress Fabric: Net || inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work: Embroidery Chain Stitch Work|| Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.4 mtr</p>
</div>",Avetsam,Apparel & Accessories > Clothing > Dresses,Anarkali,"Anarkali, Peach, Embroidery Chain Stitch Work, Net, Semi-stich, 3/4 Sleve, Round, 3-Piece Set",TRUE,Size,Free Size,1335_Peach,500,shopify,deny,manual,1450,,TRUE,TRUE,,,,1335 Peach - Peach,FALSE,1335 Peach - Peach,"
Product Details

Top Fabric: Net
Inner Fabric: Crepe
Bottom Fabric: Crepe
Dupatta Fabric: Net
Color: Peach
Work: Embroidery Chain Stitch Work
Pattern: Embroide",Apparel & Accessories > Clothing > Dresses,Female,Adult,,new,FALSE,,,,,,,kg,,,TRUE,active
1286-dusty,1286 Dusty - Dusty,"<div class=""product-description"">
<h3>Product Details</h3>
<ul>
<li><strong>Top Fabric:</strong> Net</li>
<li><strong>Inner Fabric:</strong> Crepe</li>
<li><strong>Bottom Fabric:</strong> Crepe</li>
<li><strong>Dupatta Fabric:</strong> Net</li>
<li><strong>Color:</strong> Dusty</li>
<li><strong>Work:</strong> Embroidery Chain Stitch Work</li>
<li><strong>Pattern:</strong> Embroidery Chain Stitch Work</li>
<li><strong>Neck:</strong> Round</li>
<li><strong>Sleeve:</strong> 3/4 Sleve</li>
<li><strong>Sleeve Length:</strong> 16 Inch</li>
</ul>

<h3>Fabric & Sizing</h3>
<ul>
<li><strong>Top Length:</strong> 57 Inch</li>
<li><strong>Bottom Length:</strong> 2 Mtr</li>
<li><strong>Dupatta Length:</strong> 2.2Mtr</li>
<li><strong>Bust:</strong> 42</li>
<li><strong>Waist:</strong> 44</li>
<li><strong>Stitching:</strong> Semi-stich</li>
</ul>

<h3>Care & Delivery</h3>
<ul>
<li>Dry clean recommended</li>
<li>Store in a cool, dry place</li>
<li>Delivery within 5-7 business days</li>
</ul>

<p class=""additional-info"">Anarkali Dress Fabric: Net || inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta: Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.4 mtr</p>
</div>",Avetsam,Apparel & Accessories > Clothing > Dresses,Anarkali,"Anarkali, Dusty, Embroidery Chain Stitch Work, Net, Semi-stich, 3/4 Sleve, Round, 3-Piece Set",TRUE,Size,Free Size,1286_Dusty,500,shopify,deny,manual,1295,,TRUE,TRUE,,,,1286 Dusty - Dusty,FALSE,1286 Dusty - Dusty,"
Product Details

Top Fabric: Net
Inner Fabric: Crepe
Bottom Fabric: Crepe
Dupatta Fabric: Net
Color: Dusty
Work: Embroidery Chain Stitch Work
Pattern: Embroide",Apparel & Accessories > Clothing > Dresses,Female,Adult,,new,FALSE,,,,,,,kg,,,TRUE,active
1286-green,1286 Green - parrot freen,"<div class=""product-description"">
<h3>Product Details</h3>
<ul>
<li><strong>Top Fabric:</strong> Net</li>
<li><strong>Inner Fabric:</strong> Crepe</li>
<li><strong>Bottom Fabric:</strong> Crepe</li>
<li><strong>Dupatta Fabric:</strong> Net</li>
<li><strong>Color:</strong> parrot freen</li>
<li><strong>Work:</strong> Embroidery Chain Stitch Work</li>
<li><strong>Pattern:</strong> Embroidery Chain Stitch Work</li>
<li><strong>Neck:</strong> Round</li>
<li><strong>Sleeve:</strong> 3/4 Sleve</li>
<li><strong>Sleeve Length:</strong> 16 Inch</li>
</ul>

<h3>Fabric & Sizing</h3>
<ul>
<li><strong>Top Length:</strong> 57 Inch</li>
<li><strong>Bottom Length:</strong> 2 Mtr</li>
<li><strong>Dupatta Length:</strong> 2.2Mtr</li>
<li><strong>Bust:</strong> 42</li>
<li><strong>Waist:</strong> 44</li>
<li><strong>Stitching:</strong> Semi-stich</li>
</ul>

<h3>Care & Delivery</h3>
<ul>
<li>Dry clean recommended</li>
<li>Store in a cool, dry place</li>
<li>Delivery within 5-7 business days</li>
</ul>

<p class=""additional-info"">Anarkali Dress Fabric: Net || Inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.4 mtr</p>
</div>",Avetsam,Apparel & Accessories > Clothing > Dresses,Anarkali,"Anarkali, parrot freen, Embroidery Chain Stitch Work, Net, Semi-stich, 3/4 Sleve, Round, 3-Piece Set",TRUE,Size,Free Size,1286_Green,500,shopify,deny,manual,1295,,TRUE,TRUE,,,,1286 Green - parrot freen,FALSE,1286 Green - parrot freen,"
Product Details

Top Fabric: Net
Inner Fabric: Crepe
Bottom Fabric: Crepe
Dupatta Fabric: Net
Color: parrot freen
Work: Embroidery Chain Stitch Work
Pattern: E",Apparel & Accessories > Clothing > Dresses,Female,Adult,,new,FALSE,,,,,,,kg,,,TRUE,active
30102-pista,30102 Pista - Light Green,"<div class=""product-description"">
<h3>Product Details</h3>
<ul>
<li><strong>Top Fabric:</strong> Net</li>
<li><strong>Inner Fabric:</strong> Crepe</li>
<li><strong>Bottom Fabric:</strong> Crepe</li>
<li><strong>Dupatta Fabric:</strong> Net</li>
<li><strong>Color:</strong> Light Green</li>
<li><strong>Work:</strong> Embroidery Chain Stitch Work</li>
<li><strong>Pattern:</strong> Embroidery Chain Stitch Work</li>
<li><strong>Neck:</strong> Halter</li>
<li><strong>Sleeve:</strong> 3/4 Sleve</li>
<li><strong>Sleeve Length:</strong> 16 Inch</li>
</ul>

<h3>Fabric & Sizing</h3>
<ul>
<li><strong>Top Length:</strong> 57 Inch</li>
<li><strong>Bottom Length:</strong> 2 Mtr</li>
<li><strong>Dupatta Length:</strong> 2.2Mtr</li>
<li><strong>Bust:</strong> 42</li>
<li><strong>Waist:</strong> 44</li>
<li><strong>Stitching:</strong> Semi-stich</li>
</ul>

<h3>Care & Delivery</h3>
<ul>
<li>Dry clean recommended</li>
<li>Store in a cool, dry place</li>
<li>Delivery within 5-7 business days</li>
</ul>

<p class=""additional-info"">Anarkali Dress Fabric: Net || Inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.4 mtr</p>
</div>",Avetsam,Apparel & Accessories > Clothing > Dresses,Anarkali,"Anarkali, Light Green, Embroidery Chain Stitch Work, Net, Semi-stich, 3/4 Sleve, Halter, 3-Piece Set",TRUE,Size,Free Size,30102_Pista,500,shopify,deny,manual,1295,,TRUE,TRUE,,,,30102 Pista - Light Green,FALSE,30102 Pista - Light Green,"
Product Details

Top Fabric: Net
Inner Fabric: Crepe
Bottom Fabric: Crepe
Dupatta Fabric: Net
Color: Light Green
Work: Embroidery Chain Stitch Work
Pattern: Em",Apparel & Accessories > Clothing > Dresses,Female,Adult,,new,FALSE,,,,,,,kg,,,TRUE,active
30103-chiku,30103 Chiku - Cream,"<div class=""product-description"">
<h3>Product Details</h3>
<ul>
<li><strong>Top Fabric:</strong> Net</li>
<li><strong>Inner Fabric:</strong> Crepe</li>
<li><strong>Bottom Fabric:</strong> Crepe</li>
<li><strong>Dupatta Fabric:</strong> Net</li>
<li><strong>Color:</strong> Cream</li>
<li><strong>Work:</strong> Embroidery Chain Stitch Work</li>
<li><strong>Pattern:</strong> Embroidery Chain Stitch Work</li>
<li><strong>Neck:</strong> Round</li>
<li><strong>Sleeve:</strong> 3/4 Sleeve</li>
<li><strong>Sleeve Length:</strong> 16 Inch</li>
</ul>

<h3>Fabric & Sizing</h3>
<ul>
<li><strong>Top Length:</strong> 57 Inch</li>
<li><strong>Bottom Length:</strong> 2 Mtr</li>
<li><strong>Dupatta Length:</strong> 2.2Mtr</li>
<li><strong>Bust:</strong> 42</li>
<li><strong>Waist:</strong> 44</li>
<li><strong>Stitching:</strong> Semi-stich</li>
</ul>

<h3>Care & Delivery</h3>
<ul>
<li>Dry clean recommended</li>
<li>Store in a cool, dry place</li>
<li>Delivery within 5-7 business days</li>
</ul>

<p class=""additional-info"">Anarkali Dress Fabric: Net || Inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.4 mtr</p>
</div>",Avetsam,Apparel & Accessories > Clothing > Dresses,Anarkali,"Anarkali, Cream, Embroidery Chain Stitch Work, Net, Semi-stich, 3/4 Sleeve, Round, 3-Piece Set",TRUE,Size,Free Size,30103_Chiku,500,shopify,deny,manual,1295,,TRUE,TRUE,,,,30103 Chiku - Cream,FALSE,30103 Chiku - Cream,"
Product Details

Top Fabric: Net
Inner Fabric: Crepe
Bottom Fabric: Crepe
Dupatta Fabric: Net
Color: Cream
Work: Embroidery Chain Stitch Work
Pattern: Embroide",Apparel & Accessories > Clothing > Dresses,Female,Adult,,new,FALSE,,,,,,,kg,,,TRUE,active
301010-green,301010 Green - Green,"<div class=""product-description"">
<h3>Product Details</h3>
<ul>
<li><strong>Top Fabric:</strong> Net</li>
<li><strong>Inner Fabric:</strong> Crepe</li>
<li><strong>Bottom Fabric:</strong> Crepe</li>
<li><strong>Dupatta Fabric:</strong> Net</li>
<li><strong>Color:</strong> Green</li>
<li><strong>Work:</strong> Embroidery Chain Stitch Work</li>
<li><strong>Pattern:</strong> Embroidery Chain Stitch Work</li>
<li><strong>Neck:</strong> Round</li>
<li><strong>Sleeve:</strong> 3/4 Sleeve</li>
<li><strong>Sleeve Length:</strong> 16 Inch</li>
</ul>

<h3>Fabric & Sizing</h3>
<ul>
<li><strong>Top Length:</strong> 57 Inch</li>
<li><strong>Bottom Length:</strong> 2 Mtr</li>
<li><strong>Dupatta Length:</strong> 2.2Mtr</li>
<li><strong>Bust:</strong> 42</li>
<li><strong>Waist:</strong> 44</li>
<li><strong>Stitching:</strong> Semi-stich</li>
</ul>

<h3>Care & Delivery</h3>
<ul>
<li>Dry clean recommended</li>
<li>Store in a cool, dry place</li>
<li>Delivery within 5-7 business days</li>
</ul>

<p class=""additional-info"">Anarkali Dress Fabric: Net || Inner Fabric: Crepe || Bottom Fabric: Crepe|| Dupatta Fabric : Net || Top Work: Embroidery Chain Stitch Work || Bottom Work: Plain || Dupatta Work: Embroidery Chain Stitch Work || Top Length: 54 Inches || Bottom Size : 2 mtr (Unstitched) || Dupatta Length: 2.4 mtr</p>
</div>",Avetsam,Apparel & Accessories > Clothing > Dresses,Anarkali,"Anarkali, Green, Embroidery Chain Stitch Work, Net, Semi-stich, 3/4 Sleeve, Round, 3-Piece Set",TRUE,Size,Free Size,301010_Green,500,shopify,deny,manual,1495,,TRUE,TRUE,,,,301010 Green - Green,FALSE,301010 Green - Green,"
Product Details

Top Fabric: Net
Inner Fabric: Crepe
Bottom Fabric: Crepe
Dupatta Fabric: Net
Color: Green
Work: Embroidery Chain Stitch Work
Pattern: Embroide",Apparel & Accessories > Clothing > Dresses,Female,Adult,,new,FALSE,,,,,,,kg,,,TRUE,active
