Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status
40401-purple,Purple Printed Kurti,"<h3>Product Details</h3>
<ul>
<li><strong>Work Pattern:</strong> Printed</li>
<li><strong>Sleeves:</strong> Full Sleeve</li>
<li><strong>Set Contents:</strong> Kurti :: 1</li>
</ul>

<h3>Fabric & Sizing</h3>
<ul>
</ul>

<h3>Care & Delivery</h3>
<ul>
<li><strong>Washing:</strong> Dry clean only recommended</li>
<li><strong>Drying:</strong> Dry in shade, avoid direct sunlight</li>
<li><strong>Ironing:</strong> Iron on reverse side at low heat</li>
<li><strong>Delivery:</strong> 5-7 business days within India</li>
</ul>
",Avestam,Apparel & Accessories > Clothing > Dresses,Kurti,"Kurti, Purple, Printed, Full Sleeve",TRUE,Size,S(36),40401_Purple-S36,500,shopify,deny,manual,799,,TRUE,TRUE,,,,,FALSE,Purple Printed Kurti,Purple Printed Kurti,166,Female,Adult,40401_Purple,New,FALSE,Purple,Printed,Cotton Silk,Full Stitched,,,kg,,799,TRUE,799,,active
40401-purple,,,Avestam,Apparel & Accessories > Clothing > Dresses,Kurti,,TRUE,Size,M(38),40401_Purple-M38,500,shopify,deny,manual,799,,TRUE,TRUE,,,,,FALSE,,,166,Female,Adult,40401_Purple,New,FALSE,Purple,Printed,Cotton Silk,Full Stitched,,,kg,,799,TRUE,799,,active
40401-purple,,,Avestam,Apparel & Accessories > Clothing > Dresses,Kurti,,TRUE,Size,L(40),40401_Purple-L40,500,shopify,deny,manual,799,,TRUE,TRUE,,,,,FALSE,,,166,Female,Adult,40401_Purple,New,FALSE,Purple,Printed,Cotton Silk,Full Stitched,,,kg,,799,TRUE,799,,active
40401-purple,,,Avestam,Apparel & Accessories > Clothing > Dresses,Kurti,,TRUE,Size,XL(42),40401_Purple-XL42,500,shopify,deny,manual,799,,TRUE,TRUE,,,,,FALSE,,,166,Female,Adult,40401_Purple,New,FALSE,Purple,Printed,Cotton Silk,Full Stitched,,,kg,,799,TRUE,799,,active
40402-lpurple,Purple Embroidery Work Kurti,"<h3>Product Details</h3>
<ul>
<li><strong>Work Pattern:</strong> Embroidery Work & printed</li>
<li><strong>Sleeves:</strong> Full Sleeve</li>
<li><strong>Set Contents:</strong> Kurti :: 1</li>
</ul>

<h3>Fabric & Sizing</h3>
<ul>
</ul>

<h3>Care & Delivery</h3>
<ul>
<li><strong>Washing:</strong> Dry clean only recommended</li>
<li><strong>Drying:</strong> Dry in shade, avoid direct sunlight</li>
<li><strong>Ironing:</strong> Iron on reverse side at low heat</li>
<li><strong>Delivery:</strong> 5-7 business days within India</li>
</ul>
",Avestam,Apparel & Accessories > Clothing > Dresses,Kurti,"Kurti, Purple, Embroidery Work, Printed, Full Sleeve",TRUE,Size,S(36),40402_Lpurple-S36,500,shopify,deny,manual,1295,,TRUE,TRUE,,,,,FALSE,Purple Embroidery Work Kurti,Purple Embroidery Work Kurti,166,Female,Adult,40402_Lpurple,New,FALSE,Purple,Embroidery Work & printed,Georgette,Full Stitched,,,kg,,1295,TRUE,1295,,active
40402-lpurple,,,Avestam,Apparel & Accessories > Clothing > Dresses,Kurti,,TRUE,Size,M(38),40402_Lpurple-M38,500,shopify,deny,manual,1295,,TRUE,TRUE,,,,,FALSE,,,166,Female,Adult,40402_Lpurple,New,FALSE,Purple,Embroidery Work & printed,Georgette,Full Stitched,,,kg,,1295,TRUE,1295,,active
40402-lpurple,,,Avestam,Apparel & Accessories > Clothing > Dresses,Kurti,,TRUE,Size,L(40),40402_Lpurple-L40,500,shopify,deny,manual,1295,,TRUE,TRUE,,,,,FALSE,,,166,Female,Adult,40402_Lpurple,New,FALSE,Purple,Embroidery Work & printed,Georgette,Full Stitched,,,kg,,1295,TRUE,1295,,active
40402-lpurple,,,Avestam,Apparel & Accessories > Clothing > Dresses,Kurti,,TRUE,Size,XL(42),40402_Lpurple-XL42,500,shopify,deny,manual,1295,,TRUE,TRUE,,,,,FALSE,,,166,Female,Adult,40402_Lpurple,New,FALSE,Purple,Embroidery Work & printed,Georgette,Full Stitched,,,kg,,1295,TRUE,1295,,active
40403-gmaroon,Maroon Digitel Printed Kurti with Dupatta,"<h3>Product Details</h3>
<ul>
<li><strong>Work Pattern:</strong> Digitel Printed</li>
<li><strong>Sleeves:</strong> Full Sleeve</li>
<li><strong>Set Contents:</strong> Kurti :: 1 ,Duptta ::1</li>
</ul>

<h3>Fabric & Sizing</h3>
<ul>
</ul>

<h3>Care & Delivery</h3>
<ul>
<li><strong>Washing:</strong> Dry clean only recommended</li>
<li><strong>Drying:</strong> Dry in shade, avoid direct sunlight</li>
<li><strong>Ironing:</strong> Iron on reverse side at low heat</li>
<li><strong>Delivery:</strong> 5-7 business days within India</li>
</ul>
",Avestam,Apparel & Accessories > Clothing > Dresses,Kurti,"Kurti, Maroon, Printed, Full Sleeve, With Dupatta",TRUE,Size,S(36),40403_Gmaroon-S36,500,shopify,deny,manual,1295,,TRUE,TRUE,,,,,FALSE,Maroon Digitel Printed Kurti with Dupatta,Maroon Digitel Printed Kurti with Dupatta,166,Female,Adult,40403_Gmaroon,New,FALSE,Maroon,Digitel Printed,Georgette,Full Stitched,,,kg,,1295,TRUE,1295,,active
40403-gmaroon,,,Avestam,Apparel & Accessories > Clothing > Dresses,Kurti,,TRUE,Size,M(38),40403_Gmaroon-M38,500,shopify,deny,manual,1295,,TRUE,TRUE,,,,,FALSE,,,166,Female,Adult,40403_Gmaroon,New,FALSE,Maroon,Digitel Printed,Georgette,Full Stitched,,,kg,,1295,TRUE,1295,,active
