SR NO,SKU NO,Size,B2b Rate,GST,Kurti Fabric,Bottom Fabric,Dupatta Fabric,Inner Fabric,Kurti Length,Bottom Length,Dupatta Length,Neck Type,Sleeve,Sleeve Length,Work,Colour,Stitching Type,Content,Descripation,HSN,Video Link,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,Image,,,,,,,,
1,40401_Purple,"S(36),M(38),L(40),XL(42)",799,5% Extra,Cotton Silk,NA,NA,NA,54 Inches'',Not Available,Not Available,V-Nack,Full Sleeve,Full Sleeve,Printed,Purple,Full Stitched,Kurti :: 1,Fabric : Cotton Silk || Work: Lace || Length: Ankle Length (54 Inches) || Sleeves: Full Sleeve || Color: Purple,5407,,40401_Purple (1).jpg,https://drive.google.com/file/d/1MCUnxohXydkbxGADBld5MuM47rD461IE/view?usp=drive_link,40401_Purple (3).jpg,40401_Purple (4).jpg,https://drive.google.com/file/d/19Y5wARk48xToP7r-9cmmkJzsbh1Qh7N_/view?usp=drive_link,,40401_Purple (6).jpg,https://drive.google.com/file/d/1dgc0d7Wbs413yzPWM_mV2VnNrHtZ5eeu/view?usp=drive_link,,,,,,,,,,,
2,40402_Lpurple,"S(36),M(38),L(40),XL(42)",1295,5% Extra,Georgette,NA,NA,Crepe,54 Inches'',Not Available,Not Available,V-Nack,Full Sleeve,Full Sleeve,Embroidery Work & printed,Purple,Full Stitched,Kurti :: 1,Fabric : Georgette || Work: Embroidery || Length: Ankle Length (54 Inches) || Sleeves: Full Sleeve || Color: Light Purple,5407,,40402_Lpurple (1).jpg,40402_Lpurple (2).jpg,https://drive.google.com/file/d/1O4VU0uxsfNN4jiYPX8cfYimN2CC0HIcv/view?usp=drive_link,https://drive.google.com/file/d/1rss2VXmvyayI-Rzc9F39qkliYkY_bQ23/view?usp=drive_link,40402_Lpurple (5).jpg,https://drive.google.com/file/d/1MhTrp6KltZl3bFFqVkx2xAzByP0goZGl/view?usp=drive_link,,,,,,,,,,,,,
3,40403_Gmaroon,"S(36),M(38),L(40),XL(42)",1295,5% Extra,Georgette,NA,Georgette,Crepe,58 Inches'',Not Available,2.20 Mtr,V-Nack,Full Sleeve,Full Sleeve,Digitel Printed,Maroon,Full Stitched,"Kurti :: 1 ,Duptta ::1",Fabric : Georgette || Work: Embroidery || Length: Ankle Length (54 Inches) || Sleeves: Full Sleeve || Color: Maroon,5407,,40403_Gmaroon (1).jpg,40403_Gmaroon (2).jpg,40403_Gmaroon (3).jpg,40403_Gmaroon (4).jpg,40403_Gmaroon (5).jpg,https://drive.google.com/file/d/1EB3y_PjWmJDqmMUyLAcnOLeZz5c8OZ3p/view?usp=drive_link,,,,,,,,,,,,,
4,201014_Mendi,"M(38),L(40),XL(42),XXL(44)",1795,5% Extra,Cotton Silk,Cotton Silk,Lian Silk,NA,45 to 48 Inches'',40 Inches'',2.20 Mtr,V-Nack,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Mahendi,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Lian Silk || Kurti Work Type :-Embroidery Work Beads hand Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,https://drive.google.com/file/d/1ECnmTPHxmIsPZNbLYeKBU3uzaFpNt2QI/view?usp=sharing,201014_Mendi (1).jpg,201014_Mendi (2).jpg,201014_Mendi (3).jpg,201014_Mendi (4).jpg,201014_Mendi (5).jpg,201014_Mendi (6).jpg,201014_Mendi (7).jpg,201014_Mendi (8).jpg,https://drive.google.com/file/d/1itokYK_cfb06cL5m5b8f5phnjO5GYcKR/view?usp=drive_link,,,,,,,,,,
5,201015_Purple,"M(38),L(40),XL(42),XXL(44)",1795,5% Extra,Soft Silk,Soft Silk,Soft Silk,NA,45 to 48 Inches'',40 Inches'',2.20 Mtr,Round,3/4 Sleve,18 Inch '',Embroidery Work Sequance Work,Purple,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Soft Silk || Bottom Fabric :- Soft Silk || Dupatta Fabric :- Soft Silk || Kurti Work Type :-Embroidery Work Sequance Work || Bottom Work :-Embroidery Sequance Lace Work || Dupatta Work :-Embroidery Sequance Work || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :-Ankle Length",5407,https://drive.google.com/file/d/1gRsv-kC5rbOI4tu2zmnx3EsRPV_Tu6Kl/view?usp=sharing,201015_Purple (1).jpg,201015_Purple (2).jpg,201015_Purple (2).jpg,201015_Purple (3).jpg,201015_Purple (4).jpg,201015_Purple (5).jpg,https://drive.google.com/file/d/17bIERVwfjtqZr0e2ad7jnoAiA3nhlnuG/view?usp=drive_link,201015_Purple (7).jpg,201015_Purple (8).jpg,https://drive.google.com/file/d/1KgOwTO_lZZvCYFjjgdN9xtv19-2mRym2/view?usp=drive_link,,,,,,,,,
6,201016_y,"M(38),L(40),XL(42),XXL(44)",1895,5% Extra,Cotton Silk,Cotton Silk,Jequard Simmer Digital Print,NA,45 to 48 Inches'',40 Inches'',2.20 Mtr,Round,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Yellow,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Jequard Simmer Digital Print || Kurti Work Type :-Embroidery Work Beads hand Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Printed || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,https://drive.google.com/file/d/1BY9kItzTVoGgiR1jRwXbMf4oonJ6hU-A/view?usp=sharing,https://drive.google.com/file/d/19eemnLyIvjHkBJtahzPu5PedNgwkjcEf/view?usp=drive_link,201016_y (2).jpg,201016_y (3).jpg,201016_y (4).jpg,201016_y (5).jpg,201016_y (6).jpg,201016_y (7).jpg,https://drive.google.com/file/d/1jEr0Kz_e0qWs1XE4lm7HyObtZ9o8u3r9/view?usp=drive_link,,,,,,,,,,,
7,201017_Pink,"M(38),L(40),XL(42),XXL(44)",1895,5% Extra,Cotton Silk,Cotton Silk,Jequard Simmer Digital Print,NA,45 to 48 Inches'',40 Inches'',2.20 Mtr,V-Nack,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Pink,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Jequard Simmer Digital Print || Kurti Work Type :-Embroidery Work Beads hand Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Printed || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,https://drive.google.com/file/d/1_I4ORD56mmq7kqGLScwc0Numa6AqzNFO/view?usp=sharing,201017_Pink (1).jpg,201017_Pink (2).jpg,201017_Pink (3).jpg,201017_Pink (4).jpg,201017_Pink (5).jpg,201017_Pink (6).jpg,201017_Pink (7).jpg,201017_Pink (9).jpg,,,,,,,,,,,
8,201018_black,"M(38),L(40),XL(42),XXL(44)",1895,5% Extra,Viscose shimmer,Viscose shimmer,Simmer Silk,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,Round,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Black,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Viscose shimmer || Bottom Fabric :- Viscose shimmer || Dupatta Fabric :- Simmer Silk || Kurti Work Type :- Embroidery Beads Hand Work&Floral Printed || Bottom Work :- Embroidery Lace Work || Dupatta Work :- Floral Printed || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,https://drive.google.com/file/d/1lc7nAGVwoaLDl96lZkHmw5PqgsH9-5Zi/view?usp=sharing,201018_Black (1).jpg,https://drive.google.com/file/d/1NzxLzn57rHhHMOtcDtc2NYXkaCfK-cQm/view?usp=drive_link,https://drive.google.com/file/d/1nwEUg-Yf_k7IYAWoV2iEwIle5j8ZBWhu/view?usp=drive_link,201018_Black (10).jpg,201018_Black (11).jpg,201018_Black (12).jpg,https://drive.google.com/file/d/1K2ld4e-ECMf6yxHVYwwW-wWMSSxfQ96y/view?usp=drive_link,,,,,,,,,,,,
9,201019_Dpurple,"M(38),L(40),XL(42),XXL(44)",1895,5% Extra,Simmer Silk,Simmer Silk,Jequard Simmer Digital Print,Cotton,45 to 48 Inches'',40 Inches'',2.20 Mtr,Round,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Dark Purple,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Simmer Silk || Bottom Fabric :- Simmer Silk || Dupatta Fabric :- Jequard Simmer Digital Print || Kurti Work Type :-Embroidery Sequance & Beads hand Work || Bottom Work :-Embroidery Lace Work || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :- Ankle Length",5407,https://drive.google.com/file/d/1YEWBtmnMlBPffj2CHXioMHvqRmhOZxn-/view?usp=sharing,201019_DPurple (1).JPG,201019_DPurple (2).JPG,201019_DPurple (3).JPG,201019_DPurple (4).JPG,201019_DPurple (5).JPG,201019_DPurple (6).JPG,201019_DPurple (7).JPG,201019_DPurple (8).JPG,,,,,,,,,,,
10,201020_Lyellow,"M(38),L(40),XL(42),XXL(44)",1895,5% Extra,Cotton Silk,Cotton Silk,Jequard Simmer Digital Print,NA,45 to 48 Inches'',40 Inches'',2.20 Mtr,Round,3/4 Sleve,18 Inch '',Embroidery Work Hand Work,Light Yellow,Full Stitched,Kurti :: 1 Bottom ::1 Duptta ::1,"Top Fabric :- Cotton Silk || Bottom Fabric :- Cotton Silk || Dupatta Fabric :- Jequard Simmer Digital Print || Kurti Work Type :-Embroidery Sequance Work || Bottom Work :-Plain || Dupatta Work :-Floral Print Duptta || Stitched Type :- Stitch || Size :- M,L,XL,XXL || Kurti Length :-Ankle Length",5407,https://drive.google.com/file/d/1r489LR8rwvdKvw_UJ-RG6GxkZueo1XbS/view?usp=sharing,201020_Lyellow (1).JPG,201020_Lyellow (2).JPG,201020_Lyellow (3).JPG,201020_Lyellow (4).JPG,201020_Lyellow (5).JPG,201020_Lyellow (6).JPG,201020_Lyellow (7).JPG,https://drive.google.com/file/d/1BrAqP5j6Y1E8uFjenO5tK4kd2bnrq_Fu/view?usp=drive_link,,,,,,,,,,,
