Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Taxable,Status
1010374-dusty,Heavy Embroidered Semi-Stitched Dusty Rose Wedding Wear Net Lehenga & Unstitched Blouse With Dupatta,"<h3>Product Details</h3>
<ul>
<li><strong>Lehenga Fabric:</strong> Net</li>
<li><strong>Choli Fabric:</strong> Net</li>
<li><strong>Dupatta Fabric:</strong> Net</li>
<li><strong>Inner Fabric:</strong> Ultra Satin</li>
<li><strong>Color:</strong> Dusty</li>
<li><strong>Work:</strong> Heavy Thread Embroidery Work</li>
<li><strong>Pattern:</strong> Floral and architectural pattern embroidery</li>
</ul>
<h3>Measurements</h3>
<ul>
<li><strong>Lehenga Length:</strong> 42 inches ''</li>
<li><strong>Lehenga Flair:</strong> ' 3 Mtr ''</li>
<li><strong>Lehenga Closer:</strong> Zip Closure</li>
<li><strong>Blouse Length:</strong> 15 Inches ''</li>
<li><strong>Blouse Size:</strong> 1 Meters ''</li>
<li><strong>Dupatta Width:</strong> 36–40 Inches ''</li>
<li><strong>Dupatta Length:</strong> 2.20 Meters''</li>
<li><strong>Sleeve:</strong> Regular Sleeve</li>
<li><strong>Sleeve Length:</strong> Three-Quarter Length</li>
<li><strong>Neck Type:</strong> Round Neck</li>
</ul>
<h3>Features</h3>
<ul>
<li>Stitched with Cancan Support & Full Inner</li>
<li>Semi Stitched</li>
</ul>
<h3>Package Contents</h3>
<p>Lehenga :: 1,Choli :: 1,Dupatta ::1</p>",Avestam,Apparel & Accessories > Clothing > Dresses,Lehenga Choli,"Dusty,Lehenga Choli,Heavy Thread Embroidery Work,Floral and architectural pattern embroidery",TRUE,Size,Free Size up to 42Inch,Color,Dusty,1010374_Dusty,2399,,shopify,deny,manual,TRUE,TRUE,active
1010373-lavender,Heavy Thread Embroidered Semi-Stitched Lavender Wedding & Festive Wear Net Lehenga & Unstitched Blouse With Dupatta,"<h3>Product Details</h3>
<ul>
<li><strong>Lehenga Fabric:</strong> Net</li>
<li><strong>Choli Fabric:</strong> Net</li>
<li><strong>Dupatta Fabric:</strong> Net</li>
<li><strong>Inner Fabric:</strong> Ultra Satin</li>
<li><strong>Color:</strong> Lavender</li>
<li><strong>Work:</strong> Heavy Thread Embroidery Work</li>
<li><strong>Pattern:</strong> Floral and vine embroidery pattern</li>
</ul>
<h3>Measurements</h3>
<ul>
<li><strong>Lehenga Length:</strong> 42 inches ''</li>
<li><strong>Lehenga Flair:</strong> ' 3 Mtr ''</li>
<li><strong>Lehenga Closer:</strong> Zip Closure</li>
<li><strong>Blouse Length:</strong> 15 Inches ''</li>
<li><strong>Blouse Size:</strong> 1 Meters ''</li>
<li><strong>Dupatta Width:</strong> 36–40 Inches ''</li>
<li><strong>Dupatta Length:</strong> 2.20 Meters''</li>
<li><strong>Sleeve:</strong> Regular Sleeve</li>
<li><strong>Sleeve Length:</strong> Three-Quarter Length</li>
<li><strong>Neck Type:</strong> Round Neck</li>
</ul>
<h3>Features</h3>
<ul>
<li>Stitched with Cancan Support & Full Inner</li>
<li>Semi Stitched</li>
</ul>
<h3>Package Contents</h3>
<p>Lehenga :: 1,Choli :: 1,Dupatta ::1</p>",Avestam,Apparel & Accessories > Clothing > Dresses,Lehenga Choli,"Lavender,Lehenga Choli,Heavy Thread Embroidery Work,Floral and vine embroidery pattern",TRUE,Size,Free Size up to 42Inch,Color,Lavender,1010373_Lavender,2399,,shopify,deny,manual,TRUE,TRUE,active
1010372-pista,Pastel Green Semi-stitch Floral Embroidered Wedding & Festive Wear Silk Blend Lehenga Set,"<h3>Product Details</h3>
<ul>
<li><strong>Lehenga Fabric:</strong> Silk Blend</li>
<li><strong>Choli Fabric:</strong> Silk Blend</li>
<li><strong>Dupatta Fabric:</strong> Silk Blend</li>
<li><strong>Inner Fabric:</strong> Ultra Satin</li>
<li><strong>Color:</strong> Pista</li>
<li><strong>Work:</strong> Embroidery Beads Work</li>
<li><strong>Pattern:</strong> Heavy Floral Thread Embroidery Beads Work</li>
</ul>
<h3>Measurements</h3>
<ul>
<li><strong>Lehenga Length:</strong> 42 inches ''</li>
<li><strong>Lehenga Flair:</strong> ' 3 Mtr ''</li>
<li><strong>Lehenga Closer:</strong> Zip Closure</li>
<li><strong>Blouse Length:</strong> 15 Inches ''</li>
<li><strong>Blouse Size:</strong> 1 Meters ''</li>
<li><strong>Dupatta Width:</strong> 36–40 Inches ''</li>
<li><strong>Dupatta Length:</strong> 2.20 Meters''</li>
<li><strong>Sleeve:</strong> Regular Sleeve</li>
<li><strong>Sleeve Length:</strong> Full Sleeve</li>
<li><strong>Neck Type:</strong> V-neck</li>
</ul>
<h3>Features</h3>
<ul>
<li>Stitched with Cancan Support & Full Inner</li>
<li>Semi Stitched</li>
</ul>
<h3>Package Contents</h3>
<p>Lehenga :: 1,Choli :: 1,Dupatta ::1</p>",Avestam,Apparel & Accessories > Clothing > Dresses,Lehenga Choli,"Pista,Lehenga Choli,Embroidery Beads Work,Heavy Floral Thread Embroidery Beads Work",TRUE,Size,Free Size up to 42Inch,Color,Pista,1010372_Pista,3295,,shopify,deny,manual,TRUE,TRUE,active
1010371-sky,Powder Blue Heavy Embroidered Semi-Stitch Wedding Wear Net Lehenga Choli Set,"<h3>Product Details</h3>
<ul>
<li><strong>Lehenga Fabric:</strong> Net</li>
<li><strong>Choli Fabric:</strong> Net</li>
<li><strong>Dupatta Fabric:</strong> Net</li>
<li><strong>Inner Fabric:</strong> Ultra Satin</li>
<li><strong>Color:</strong> Sky</li>
<li><strong>Work:</strong> Resham & Zari Embroidery</li>
<li><strong>Pattern:</strong> All-over intricate thread embroidery</li>
</ul>
<h3>Measurements</h3>
<ul>
<li><strong>Lehenga Length:</strong> 42 inches ''</li>
<li><strong>Lehenga Flair:</strong> ' 3 Mtr ''</li>
<li><strong>Lehenga Closer:</strong> Zip Closure</li>
<li><strong>Blouse Length:</strong> 15 Inches ''</li>
<li><strong>Blouse Size:</strong> 1 Meters ''</li>
<li><strong>Dupatta Width:</strong> 36–40 Inches ''</li>
<li><strong>Dupatta Length:</strong> 2.20 Meters''</li>
<li><strong>Sleeve:</strong> Regular Sleeve</li>
<li><strong>Sleeve Length:</strong> Three-Quarter Length</li>
<li><strong>Neck Type:</strong> V-neck</li>
</ul>
<h3>Features</h3>
<ul>
<li>Stitched with Cancan Support & Full Inner</li>
<li>Semi Stitched</li>
</ul>
<h3>Package Contents</h3>
<p>Lehenga :: 1,Choli :: 1,Dupatta ::1</p>",Avestam,Apparel & Accessories > Clothing > Dresses,Lehenga Choli,"Sky,Lehenga Choli,Resham & Zari Embroidery,All-over intricate thread embroidery",TRUE,Size,Free Size up to 42Inch,Color,Sky,1010371_Sky,2399,,shopify,deny,manual,TRUE,TRUE,active
1010370-lavender,Premium Embellished Semi-Stitched Wedding Wear Net Lehenga & Unstitched Blouse With Dupatta,"<h3>Product Details</h3>
<ul>
<li><strong>Lehenga Fabric:</strong> Net</li>
<li><strong>Choli Fabric:</strong> Net</li>
<li><strong>Dupatta Fabric:</strong> Net</li>
<li><strong>Inner Fabric:</strong> Ultra Satin</li>
<li><strong>Color:</strong> Lavender</li>
<li><strong>Work:</strong> Resham & Zari Embroidery</li>
<li><strong>Pattern:</strong> All-over intricate thread embroidery</li>
</ul>
<h3>Measurements</h3>
<ul>
<li><strong>Lehenga Length:</strong> 42 inches ''</li>
<li><strong>Lehenga Flair:</strong> ' 3 Mtr ''</li>
<li><strong>Lehenga Closer:</strong> Zip Closure</li>
<li><strong>Blouse Length:</strong> 15 Inches ''</li>
<li><strong>Blouse Size:</strong> 1 Meters ''</li>
<li><strong>Dupatta Width:</strong> 36–40 Inches ''</li>
<li><strong>Dupatta Length:</strong> 2.20 Meters''</li>
<li><strong>Sleeve:</strong> Regular Sleeve</li>
<li><strong>Sleeve Length:</strong> Three-Quarter Length</li>
<li><strong>Neck Type:</strong> Round</li>
</ul>
<h3>Features</h3>
<ul>
<li>Stitched with Cancan Support & Full Inner</li>
<li>Semi Stitched</li>
</ul>
<h3>Package Contents</h3>
<p>Lehenga :: 1,Choli :: 1,Dupatta ::1</p>",Avestam,Apparel & Accessories > Clothing > Dresses,Lehenga Choli,"Lavender,Lehenga Choli,Resham & Zari Embroidery,All-over intricate thread embroidery",TRUE,Size,Free Size up to 42Inch,Color,Lavender,1010370_Lavender,2399,,shopify,deny,manual,TRUE,TRUE,active
1010369-sea-green,Embellished Semi-Stitched Wedding Wear Net Lehenga & Unstitched Blouse With Dupatta With Thread Embroidered,"<h3>Product Details</h3>
<ul>
<li><strong>Lehenga Fabric:</strong> Net</li>
<li><strong>Choli Fabric:</strong> Net</li>
<li><strong>Dupatta Fabric:</strong> Net</li>
<li><strong>Inner Fabric:</strong> Ultra Satin</li>
<li><strong>Color:</strong> Sea Green</li>
<li><strong>Work:</strong> Resham & Zari Embroidery</li>
<li><strong>Pattern:</strong> All-over intricate thread embroidery</li>
</ul>
<h3>Measurements</h3>
<ul>
<li><strong>Lehenga Length:</strong> 42 inches ''</li>
<li><strong>Lehenga Flair:</strong> ' 3 Mtr ''</li>
<li><strong>Lehenga Closer:</strong> Zip Closure</li>
<li><strong>Blouse Length:</strong> 15 Inches ''</li>
<li><strong>Blouse Size:</strong> 1 Meters ''</li>
<li><strong>Dupatta Width:</strong> 36–40 Inches ''</li>
<li><strong>Dupatta Length:</strong> 2.20 Meters''</li>
<li><strong>Sleeve:</strong> Regular Sleeve</li>
<li><strong>Sleeve Length:</strong> Three-Quarter Length</li>
<li><strong>Neck Type:</strong> Round</li>
</ul>
<h3>Features</h3>
<ul>
<li>Stitched with Cancan Support & Full Inner</li>
<li>Semi Stitched</li>
</ul>
<h3>Package Contents</h3>
<p>Lehenga :: 1,Choli :: 1,Dupatta ::1</p>",Avestam,Apparel & Accessories > Clothing > Dresses,Lehenga Choli,"Sea Green,Lehenga Choli,Resham & Zari Embroidery,All-over intricate thread embroidery",TRUE,Size,Free Size up to 42Inch,Color,Sea Green,1010369_Sea Green,2399,,shopify,deny,manual,TRUE,TRUE,active
1010368-dusty,Dusty Mauve Designer Embroidered Party Wear Semi-Stitch Net Lehenga Set,"<h3>Product Details</h3>
<ul>
<li><strong>Lehenga Fabric:</strong> Net</li>
<li><strong>Choli Fabric:</strong> Net</li>
<li><strong>Dupatta Fabric:</strong> Net</li>
<li><strong>Inner Fabric:</strong> Ultra Satin</li>
<li><strong>Color:</strong> Dusty</li>
<li><strong>Work:</strong> Thread Embroidery with Sequin Work</li>
<li><strong>Pattern:</strong> Fine thread embroidery with delicate Diamond highlights</li>
</ul>
<h3>Measurements</h3>
<ul>
<li><strong>Lehenga Length:</strong> 42 inches ''</li>
<li><strong>Lehenga Flair:</strong> ' 3 Mtr ''</li>
<li><strong>Lehenga Closer:</strong> Zip Closure</li>
<li><strong>Blouse Length:</strong> 15 Inches ''</li>
<li><strong>Blouse Size:</strong> 1 Meters ''</li>
<li><strong>Dupatta Width:</strong> 36–40 Inches ''</li>
<li><strong>Dupatta Length:</strong> 2.20 Meters''</li>
<li><strong>Sleeve:</strong> Regular Sleeve</li>
<li><strong>Sleeve Length:</strong> Full Sleeve</li>
<li><strong>Neck Type:</strong> Round</li>
</ul>
<h3>Features</h3>
<ul>
<li>Stitched with Cancan Support & Full Inner</li>
<li>Semi Stitched</li>
</ul>
<h3>Package Contents</h3>
<p>Lehenga :: 1,Choli :: 1,Dupatta ::1</p>",Avestam,Apparel & Accessories > Clothing > Dresses,Lehenga Choli,"Dusty,Lehenga Choli,Thread Embroidery with Sequin Work,Fine thread embroidery with delicate Diamond highlights",TRUE,Size,Free Size up to 42Inch,Color,Dusty,1010368_Dusty,2795,,shopify,deny,manual,TRUE,TRUE,active
1010367-purple,Royal Magenta Pleated Satin Party Wear Semi-Stitch Lehenga & Blouse With Dupatta,"<h3>Product Details</h3>
<ul>
<li><strong>Lehenga Fabric:</strong> Satin Silk</li>
<li><strong>Choli Fabric:</strong> Satin Silk</li>
<li><strong>Dupatta Fabric:</strong> Satin Silk</li>
<li><strong>Inner Fabric:</strong> Crepe</li>
<li><strong>Color:</strong> Purple</li>
<li><strong>Work:</strong> Pleated Work</li>
<li><strong>Pattern:</strong> Plain & Pleated Pattern</li>
</ul>
<h3>Measurements</h3>
<ul>
<li><strong>Lehenga Length:</strong> 42 inches ''</li>
<li><strong>Lehenga Flair:</strong> ' 3 Mtr ''</li>
<li><strong>Lehenga Closer:</strong> Zip Closure</li>
<li><strong>Blouse Length:</strong> 15 Inches ''</li>
<li><strong>Blouse Size:</strong> 1 Meters ''</li>
<li><strong>Dupatta Width:</strong> 36–40 Inches ''</li>
<li><strong>Dupatta Length:</strong> 2.20 Meters''</li>
<li><strong>Sleeve:</strong> Regular Sleeve</li>
<li><strong>Sleeve Length:</strong> Three-Quarter Length</li>
<li><strong>Neck Type:</strong> Square neck</li>
</ul>
<h3>Features</h3>
<ul>
<li>Stitched with Cancan Support & Full Inner</li>
<li>Semi Stitched</li>
</ul>
<h3>Package Contents</h3>
<p>Lehenga :: 1,Choli :: 1,Dupatta ::1</p>",Avestam,Apparel & Accessories > Clothing > Dresses,Lehenga Choli,"Purple,Lehenga Choli,Pleated Work,Plain & Pleated Pattern",TRUE,Size,Free Size up to 42Inch,Color,Purple,1010367_Purple,1895,,shopify,deny,manual,TRUE,TRUE,active
1010366-red,Red Multicolor Zigzag Border Taffeta Silk Festive & Wedding Wear Semi-stitch Lehenga Set,"<h3>Product Details</h3>
<ul>
<li><strong>Lehenga Fabric:</strong> Taffeta Silk</li>
<li><strong>Choli Fabric:</strong> Taffeta Silk</li>
<li><strong>Dupatta Fabric:</strong> Georgette</li>
<li><strong>Inner Fabric:</strong> Crepe</li>
<li><strong>Color:</strong> Red</li>
<li><strong>Work:</strong> Embroidery Thread Work</li>
<li><strong>Pattern:</strong> Woven-style embroidery / jacquard look</li>
</ul>
<h3>Measurements</h3>
<ul>
<li><strong>Lehenga Length:</strong> 42 inches ''</li>
<li><strong>Lehenga Flair:</strong> ' 3 Mtr ''</li>
<li><strong>Lehenga Closer:</strong> Zip Closure</li>
<li><strong>Blouse Length:</strong> 15 Inches ''</li>
<li><strong>Blouse Size:</strong> 1 Meters ''</li>
<li><strong>Dupatta Width:</strong> 36–40 Inches ''</li>
<li><strong>Dupatta Length:</strong> 2.20 Meters''</li>
<li><strong>Sleeve:</strong> Regular Sleeve</li>
<li><strong>Sleeve Length:</strong> Full Sleeve</li>
<li><strong>Neck Type:</strong> V-neck</li>
</ul>
<h3>Features</h3>
<ul>
<li>Stitched with Cancan Support & Full Inner</li>
<li>Semi Stitched</li>
</ul>
<h3>Package Contents</h3>
<p>Lehenga :: 1,Choli :: 1,Dupatta ::1</p>",Avestam,Apparel & Accessories > Clothing > Dresses,Lehenga Choli,"Red,Lehenga Choli,Embroidery Thread Work,Woven-style embroidery / jacquard look",TRUE,Size,Free Size up to 42Inch,Color,Red,1010366_Red,1995,,shopify,deny,manual,TRUE,TRUE,active
1010366-green,Green Multicolor Zigzag Border Taffeta Silk Festive & Wedding Wear Semi-stitch Lehenga Set,"<h3>Product Details</h3>
<ul>
<li><strong>Lehenga Fabric:</strong> Taffeta Silk</li>
<li><strong>Choli Fabric:</strong> Taffeta Silk</li>
<li><strong>Dupatta Fabric:</strong> Georgette</li>
<li><strong>Inner Fabric:</strong> Crepe</li>
<li><strong>Color:</strong> Green</li>
<li><strong>Work:</strong> Embroidery Thread Work</li>
<li><strong>Pattern:</strong> Woven-style embroidery / jacquard look</li>
</ul>
<h3>Measurements</h3>
<ul>
<li><strong>Lehenga Length:</strong> 42 inches ''</li>
<li><strong>Lehenga Flair:</strong> ' 3 Mtr ''</li>
<li><strong>Lehenga Closer:</strong> Zip Closure</li>
<li><strong>Blouse Length:</strong> 15 Inches ''</li>
<li><strong>Blouse Size:</strong> 1 Meters ''</li>
<li><strong>Dupatta Width:</strong> 36–40 Inches ''</li>
<li><strong>Dupatta Length:</strong> 2.20 Meters''</li>
<li><strong>Sleeve:</strong> Regular Sleeve</li>
<li><strong>Sleeve Length:</strong> Full Sleeve</li>
<li><strong>Neck Type:</strong> V-neck</li>
</ul>
<h3>Features</h3>
<ul>
<li>Stitched with Cancan Support & Full Inner</li>
<li>Semi Stitched</li>
</ul>
<h3>Package Contents</h3>
<p>Lehenga :: 1,Choli :: 1,Dupatta ::1</p>",Avestam,Apparel & Accessories > Clothing > Dresses,Lehenga Choli,"Green,Lehenga Choli,Embroidery Thread Work,Woven-style embroidery / jacquard look",TRUE,Size,Free Size up to 42Inch,Color,Green,1010366_Green,1995,,shopify,deny,manual,TRUE,TRUE,active
