handle,media_url
1010374_Dusty,"https://drive.google.com/open?id=1Rzd0Krks2wiphJcf5Or6jnUdv_UI5-R5&usp=drive_copy, https://drive.google.com/open?id=1nemDsfAJs8yfiWBRi8XjkUk0D7fMxSKn&usp=drive_copy, https://drive.google.com/open?id=11Y1TpWlIH-0_NsJTSD6A7sOzMp5ut7ZJ&usp=drive_copy, https://drive.google.com/open?id=1OwUA_LPov2-qtXTvKPNEpvQVXhLcoXBy&usp=drive_copy, https://drive.google.com/open?id=1xGq7EkK_ePYpFwAfnkWMIJVLbYnKpvDx&usp=drive_copy, https://drive.google.com/open?id=1zWvD0HGwi-gnh4VqPCvxztCt8Z2F2seo&usp=drive_copy, https://drive.google.com/open?id=1lyvFCC6gbK_XeeIkYSWWPuFIlsQPkHMd&usp=drive_copy"
1010373_Lavender,"https://drive.google.com/open?id=1U7flIRsUohmMUBqEu1qTSfYSoz7dpnGd&usp=drive_copy, https://drive.google.com/open?id=1ydpUltkwfkh2JsAkDd2QrQVgvUf50x2d&usp=drive_copy, https://drive.google.com/open?id=1OZ9Aw64WRQlVB5XGY-b1XHVGnsqw9uqK&usp=drive_copy, https://drive.google.com/open?id=13hKqVblmIQjjC54FZNGO9hAMpQhntqXx&usp=drive_copy, https://drive.google.com/open?id=1Nsugj9AvjxFvJ0z4PZ-wIJ2xJB8m8FGO&usp=drive_copy, https://drive.google.com/open?id=1mvJriDC_6I79LfGUjel_H8FRZDCjqkiB&usp=drive_copy"
1010372_Pista,"https://drive.google.com/open?id=1oONzXFN7v4zuPXnUSEBWvOaen5mHvRXE&usp=drive_copy, https://drive.google.com/open?id=1oaQ93nSFoptHwWAcDROBEEjXwxMPaUbO&usp=drive_copy, https://drive.google.com/open?id=1_CgpeOc0GSBFLJ8mqQukFMoxRBF8rV84&usp=drive_copy, https://drive.google.com/open?id=1G4VajPPF5mlGR9NvOQhx1_r_hH1ZBYUm&usp=drive_copy, https://drive.google.com/open?id=1Vl8wV9LNS0LufDZtUxkMhOAGL_TkOeJT&usp=drive_copy, https://drive.google.com/open?id=1zQU_ZVX2Ho37rpfUl2vGwf38prn95n8W&usp=drive_copy"
1010371_Sky,"https://drive.google.com/open?id=1p4r15RQIgdvZev1GGssXIdzzd3eLC0KT&usp=drive_copy, https://drive.google.com/open?id=1c7Z3f6exxRVARmv47JZla3uMt-gEaH3C&usp=drive_copy, https://drive.google.com/open?id=1qWEMgKR-DinDE9-OLfHCEGlWVY7mDQl4&usp=drive_copy, https://drive.google.com/open?id=1q_QJHUSubebE1rX7cwCLYtbGBU0EO8nE&usp=drive_copy, https://drive.google.com/open?id=1zSCMKYBDsqWNHrIOvdptPAit-Hq03NdI&usp=drive_copy"
1010370_Lavender,"https://drive.google.com/open?id=11We1vdgFf4Gxcj2rK-hQuWrNQ5Srr8Rk&usp=drive_copy, https://drive.google.com/open?id=12AiYq5wZgIsc8gE3_B1mGXu5eWN1c1-0&usp=drive_copy, https://drive.google.com/open?id=1ZCcoZC7If_QZ3VcIeQ1cULom4c5Txzhb&usp=drive_copy, https://drive.google.com/open?id=1DOUB0CkSeQ8MBTL4VIIsjvNa4AfGbw53&usp=drive_copy, https://drive.google.com/open?id=1yhOtg9BA4NOUB2WblwihVSokJCrRl0yv&usp=drive_copy"
1010369_Sea Green,"https://drive.google.com/open?id=1coEhgbahkKGlnt1zWZ8nid1ZjE_so56f&usp=drive_copy, https://drive.google.com/open?id=1WEVB5F-6VrKKmoSxRfpO577k7YFVw6x7&usp=drive_copy, https://drive.google.com/open?id=1LWB2gERpNr5MeNDLxquc54yvufsYk0qp&usp=drive_copy, https://drive.google.com/open?id=1f4lw1e-nrq-2qm_kQ7RgnHwTlxpg3UBy&usp=drive_copy"
1010368_Dusty,"https://drive.google.com/open?id=1lsy2fCcffIOfpAHjXG96YxbixljN8Xuu&usp=drive_copy, https://drive.google.com/open?id=1qRl2wdhCSk01oFVEBruAInq7IC7PWAaP&usp=drive_copy, https://drive.google.com/open?id=1avcIWKpfOkAASkpONLmrV3q0b8uGRqbO&usp=drive_copy, https://drive.google.com/open?id=1hZP28iXmT5a7XUZU3k-oHRAzOGgfg_gZ&usp=drive_copy, https://drive.google.com/open?id=1uJv7kVjHFe53B9HkyJXlugRHBfBuxo6d&usp=drive_copy, https://drive.google.com/open?id=1fSNow1IvEnQJefOKiSK1i1YiiO_v5nRU&usp=drive_copy, https://drive.google.com/open?id=1deeYtGjXI0cNtIECNUouSKn4BnD9tYPN&usp=drive_copy, https://drive.google.com/open?id=1Z2GWFxImkaNzfltGTPAw2UJ26ij0Clss&usp=drive_copy, https://drive.google.com/open?id=1UehxGiPZvdgsTNKdYtkBXEqpkGPDR84e&usp=drive_copy, https://drive.google.com/open?id=1DPrYXaF_vcuydf5N8e3n1HYTdiMgbIBn&usp=drive_copy"
1010367_Purple,"https://drive.google.com/open?id=1Qr5_An9mQLOI4hcNJ9_wniXakZdBxNZl&usp=drive_copy, https://drive.google.com/open?id=1TNPcwvvx5fM6DbkYR0reZtTmqLBKyRVq&usp=drive_copy, https://drive.google.com/open?id=1nF1uJToIdd4vFlMYSLmuoRgzjeFpamR9&usp=drive_copy, https://drive.google.com/open?id=1AIPLla7SCyTiV8UG8JO8X4LsKMj75Aq2&usp=drive_copy, https://drive.google.com/open?id=1MsiL5sF9FqQJ1-JAB2y23h1xihW56sUC&usp=drive_copy"
1010366_Red,"https://drive.google.com/open?id=1jBV3iGczB2wVBuoOrrOQBz9JzT7AUp-v&usp=drive_copy, https://drive.google.com/open?id=18jKq2uslUsxXI-smU1f2StvDN2pNfHMf&usp=drive_copy, https://drive.google.com/open?id=11-ZEaSxiifzMPgBeEG7Mw7LMaxo-EGHH&usp=drive_copy"
1010366_Green,"https://drive.google.com/open?id=1jgH4CawtgssxI1O_zY-VRTIfnR5DMBu1&usp=drive_copy, https://drive.google.com/open?id=1rPf8ojblGR_v8NHjgR1NIGL3hAIlOr4a&usp=drive_copy, https://drive.google.com/open?id=1jdwD_I_p36Yvc8-66I3109FeFHuL4L5i&usp=drive_copy, https://drive.google.com/open?id=19XAPz_RHNKvCOC07F6FrUjLh_7DSXm7b&usp=drive_copy, https://drive.google.com/open?id=17Ub8yQ6VAkbPILy9DtdNxHfQG9_96P7P&usp=drive_copy"
